Gene	Name
Traes_3B_90AF4F7DB	SCAB
Traes_3AL_0E507A045	SCAB
Traes_3B_238318E22	SCAB
Traes_3DL_348F9FA7E	SCAB
Traes_5BS_21DB43EC2	SCAB
Traes_5AS_27AA9F49D	SCAB
Traes_5DS_D966200E0	SCAB
Traes_2AS_CE6BAA9C8	SCAB
Traes_2DS_3459C1E18	SCAB
Traes_4AL_7B803A3D1	SCAB
Traes_6AL_96A26DCE1	SCAB
Traes_5AL_01E8A286A	SCAB
Traes_2DS_4DC56E508	SCAB
Traes_2BS_E74F63B7B	SCAB
